"Indicator type","Indicator","Description"
"domain","thcpcnnyhoarclcr.com",""
"domain","terrh.info",""
"domain","thevvizzkicl.com",""
"domain","tllhewizzkid.com",""
"domain","tlhewizzlcid.com",""
"domain","ulowsoxnvtzhzwtw5r8ff1enbmpqg.uy",""
"domain","vkxqsszg.cn",""
"domain","wrcstlirgpagcs.com",""
"domain","wumderqroumd.com",""
"domain","zguezgzx.com",""
"domain","zt7uozjbxemxvxodf1fl7lvnjfr0d.sn",""
"domain","vyzrzl.info",""
"domain","1gcbc7tt6cabke9bo1yotsydtoxy3.gt",""
"domain","2wn75mcwh394akf3rtakivqtmvuqt.bi",""
"domain","1mh5pmtrpknhcxznwcyvik71achv8.pa",""
"domain","5y95luqflqbwhyks9mdvl1ccum7hc.dz",""
"domain","82bmphzdmabhhpjjkurtffo4wlylg.tg",""
"domain","akjfeuqaeqj.com",""
"domain","arzdzkbvj2nk1ot0hrwbznmkijbue.cy",""
"domain","adfr4jpbvdol5xe4pahzr33ktn7pt.jo",""
"domain","awnpnhfnsgzsodapklgdkrfsmnj58.vn",""
"domain","bc1fxw7lsgr5yzc7u2pthk1yciqzm.td",""
"domain","bemdbroabbamd.net",""
"domain","blzlv.info",""
"domain","blznetvlqator.com",""
"domain","bouyguestclcc0m.fr",""
"domain","brkzaekuschldii7f9swpmwnelhfg.ro",""
"domain","c0llcctiblcsupcrst0rc.com",""
"domain","classicmotorcycleconsignments.com",""
"domain","bzwom.ws",""
"domain","crazsyexycool.com",""
"domain","capchaguardian.com",""
"domain","cydercafcmaui.com",""
"domain","cylbcrcafemaui.com",""
"domain","dbrvjybv.net",""
"domain","djqsflrp.com",""
"domain","dxxh6uuwile3uxdvchnvnidfcruge.ba",""
"domain","dxaayc.es",""
"domain","eoxvheehlxwpesuhbzvwb2r8q1lqg.tw",""
"domain","erazyscxyeool.com",""
"domain","evhdv.cn",""
"domain","eybcrcafcmaui.com",""
"domain","ezcybcrscarclh.com",""
"domain","crocsoutletstoreuk.com",""
"domain","fetchapiutility.com",""
"domain","fromncwjcrscy.com",""
"domain","fromncwyorik.net",""
"domain","fromnewjdrsey.com",""
"domain","fromrevvyork.net",""
"domain","fromtcmncsscc.com",""
"domain","fynx6wjpeggp4gex5jkjqzj2i9qup.bs",""
"domain","get4kitchen.com",""
"domain","gpprljhczgj.info",""
"domain","gwp9v5uky7m74fduuh3jhdurwufri.gg",""
"domain","hboxay.net",""
"domain","hjzustbmzme.info",""
"domain","hmeuhk.info",""
"domain","hrv6ecvvpw50q701dnoutq3ik2b6g.im",""
"domain","hunblcbundlc.com",""
"domain","iblonugu.cc",""
"domain","ihcyfkgcsm988e1gqc8qwuhgm1esw.ro",""
"domain","ilvio.net",""
"domain","intcrnctdlrive.com",""
"domain","intcrnctlhabcr.com",""
"domain","intcrrctdrivc.com",""
"domain","j2uyyzbun2j14prgsta8lhmlsazm3.ky",""
"domain","fromllllrols.com",""
"domain","jiqtzzwxog.net",""
"domain","jkbmndv.org",""
"domain","jpmorqanehase.com",""
"domain","k55om2wkqqhteaoppld6cssg2zjda.gy",""
"domain","ktz6jqvaajdsvhcndt2d9ok5nh23w.qa",""
"domain","kzlau.net",""
"domain","lcezoply2kplhthpjjzw179y3ef8x.lt",""
"domain","lejcizjur.biz",""
"domain","limuxfrccmail.com",""
"domain","livcadcxchamger.com",""
"domain","llnuxfrccmail.com",""
"domain","lntcrncthabcr.com",""
"domain","mail2nnousckctccr.com",""
"domain","mail2rnlsslsslppi.com",""
"domain","mailkyrgyzstan.com",""
"domain","mozog.ws",""
"domain","mybtimtcrnct.com",""
"domain","mybtlntcrnet.com",""
"domain","mye3vfe0ao2umelp4omuip1wqw4m2.kz",""
"domain","n7yjtbyscybwqjoit8lh8mi9lxz6e.mo",""
"domain","nwrvs.net",""
"domain","oszeemtrfl.net",""
"domain","oxstalldvsi.com",""
"domain","parllkjiyoon.com",""
"domain","pcrfccttoolmebia.com",""
"domain","pcrfccttoolrncdia.com",""
"domain","pcrsomaimtcrnct.com",""
"domain","printcraftxpress.shop",""
"domain","rfhgbcs.biz",""
"domain","pkxnzbafez.ws",""
"domain","s1etjjhduwpbbtfkovs7z6kdqnomn.ls",""
"domain","scckstoylboy.com",""
"domain","sbnokgs.info",""
"domain","slamdumkfarn.com",""
"domain","slamdunllcfan.com",""
"domain","sssehearxaj.info",""
"domain","st3vhnynkzfjkyagowlt9l21xqqr9.th",""
"domain","suamisihat.app",""
"domain","swymhpmcbn.info",""
"domain","tejvrlog.club",""
"domain","thcmllllonarc.net",""
"domain","thewhlzmarlketlng.com",""
"domain","tlhezllhangs.net",""
"domain","tllhekitclhn.com",""
"domain","townoflakelure.com",""
"domain","rqzpiclzr.ws",""
"domain","ukwgdfzk.org",""
"domain","usaamedicareguidebook.com",""
"domain","uxf6iuzn5mhzfiqkxfz1gz1k4uyyd.il",""
"domain","sqsdmsnfvpw.ws",""
"domain","w4mtpmckiy27l0bknyqexoqomyunn.bz",""
"domain","wcmo9rbll7un2ymqgnnaehkcnm1l7.by",""
"domain","wdellvmw.net",""
"domain","ubfpfpnweq.ws",""
"domain","wituqwuyxwoohhqaekhow07malvgd.dm",""
"domain","wr3wuzy5ylduckgzd1xduqxlgriqn.cm",""
"domain","wvzpfmqsxu.net",""
"domain","xskwfxyfsz.info",""
"domain","xvivvizok1madnyzw5oigmpnqkpfw.gr",""
"domain","ylyrggky0ylt46ybziosngbxrwjw0.tf",""
"domain","ytqec.org",""
"domain","yulmyuqc9o0ngvmqkzuejvkpxszxx.bn",""
"domain","yxhaxmsratxwoi9vyg9sscgqtgmpl.bf",""
"domain","zbvtjfr2aqg5acqm1ntobegqzonbt.pa",""
"domain","zcobfufmzn.info",""
"domain","zi9cmcby8u1qn0d63enwhsvqjiuur.km",""
"domain","zixfpotk.net",""
"domain","zjsnvtitaz0vtolb8xv4hb69lmaze.mu",""
"domain","ucolhskuzzk.ws",""
"domain","webpixel.app",""
"domain","1weblhiglhvvay.com",""
"domain","1welblhiglhway.com",""
"domain","2ottt7rlobp397ao8vkebvmoulziv.wf",""
"domain","1wvubm.life",""
"domain","9ls2qtmwwtaf84wjnsavcpk9bqbfp.ax",""
"domain","cjvdfw.com",""
"domain","cmadlsonrlvcr.net",""
"domain","crazcdanbbazcb.com",""
"domain","dontqotrrail.com",""
"domain","dlunlopdrlver.com",""
"domain","dunlopdrivver.com",""
"domain","dunlopdrkver.com",""
"domain","indafunds.com",""
"domain","jsite.top",""
"domain","mai12penmsylvamia.com",""
"domain","mbpbtfo7nu96w7uqr6jsrnuvbna.info",""
"domain","mwwmcbbimypphzeqwri2o77sox5jw.je",""
"domain","mynctadldlrcss.com",""
"domain","mynctadclrcss.com",""
"domain","nrjfrogrnail.com",""
"domain","nurturingnaturalmedicine.com",""
"domain","rpkdswkeph3602tq2knqb8lji6axi.pn",""
"domain","sharcwarcdcvcl0pcrs.com",""
"domain","sharcwarcdlcvclopcrs.com",""
"domain","tcamdlscovcry.com",""
"domain","usaday.biz",""
"domain","vvhoopynnail.com",""
"domain","yntrl7dypvx2aquhpipmoewppmetw.qa",""
"domain","googele.com",""
"domain","zqq8e2tlqr8jgyhwfjkavf37lopq4.ad",""
